样本ID,风险等级,模型类型,评估者,逻辑清晰度,证据充分性,可理解性,完整性,专业性,综合得分,备注
SAMPLE_0036,高风险,RAG,auto,3,5,5,5,3,4.2,"{""逻辑清晰度"": ""逻辑结构基本合理"", ""证据充分性"": ""证据引用较为充分；包含引用标注"", ""可理解性"": ""句子长度适中，易于阅读；使用强调标记，重点突出；结构清晰，有标题分层"", ""完整性"": ""要素非常完整；包含7/7项要素"", ""专业性"": ""使用了基本专业术语""}"
SAMPLE_0023,中风险,RAG,auto,3,5,5,5,3,4.2,"{""逻辑清晰度"": ""逻辑结构基本合理"", ""证据充分性"": ""证据引用较为充分；包含引用标注"", ""可理解性"": ""句子长度适中，易于阅读；使用强调标记，重点突出；结构清晰，有标题分层"", ""完整性"": ""要素非常完整；包含7/7项要素"", ""专业性"": ""使用了基本专业术语""}"
SAMPLE_0012,中风险,RAG,auto,3,5,5,5,3,4.2,"{""逻辑清晰度"": ""逻辑结构基本合理"", ""证据充分性"": ""证据引用较为充分；包含引用标注"", ""可理解性"": ""句子长度适中，易于阅读；使用强调标记，重点突出；结构清晰，有标题分层"", ""完整性"": ""要素非常完整；包含7/7项要素"", ""专业性"": ""使用了基本专业术语""}"
SAMPLE_0017,中风险,RAG,auto,3,5,5,5,3,4.2,"{""逻辑清晰度"": ""逻辑结构基本合理"", ""证据充分性"": ""证据引用较为充分；包含引用标注"", ""可理解性"": ""句子长度适中，易于阅读；使用强调标记，重点突出；结构清晰，有标题分层"", ""完整性"": ""要素非常完整；包含7/7项要素"", ""专业性"": ""使用了基本专业术语""}"
SAMPLE_0015,中风险,RAG,auto,3,5,5,5,3,4.2,"{""逻辑清晰度"": ""逻辑结构基本合理"", ""证据充分性"": ""证据引用较为充分；包含引用标注"", ""可理解性"": ""句子长度适中，易于阅读；使用强调标记，重点突出；结构清晰，有标题分层"", ""完整性"": ""要素非常完整；包含7/7项要素"", ""专业性"": ""使用了基本专业术语""}"
SAMPLE_0042,高风险,RAG,auto,3,5,5,5,3,4.2,"{""逻辑清晰度"": ""逻辑结构基本合理"", ""证据充分性"": ""证据引用较为充分；包含引用标注"", ""可理解性"": ""句子长度适中，易于阅读；使用强调标记，重点突出；结构清晰，有标题分层"", ""完整性"": ""要素非常完整；包含7/7项要素"", ""专业性"": ""使用了基本专业术语""}"
SAMPLE_0025,中风险,RAG,auto,3,5,5,5,3,4.2,"{""逻辑清晰度"": ""逻辑结构基本合理"", ""证据充分性"": ""证据引用较为充分；包含引用标注"", ""可理解性"": ""句子长度适中，易于阅读；使用强调标记，重点突出；结构清晰，有标题分层"", ""完整性"": ""要素非常完整；包含7/7项要素"", ""专业性"": ""使用了基本专业术语""}"
SAMPLE_0047,高风险,RAG,auto,3,5,5,5,3,4.2,"{""逻辑清晰度"": ""逻辑结构基本合理"", ""证据充分性"": ""证据引用较为充分；包含引用标注"", ""可理解性"": ""句子长度适中，易于阅读；使用强调标记，重点突出；结构清晰，有标题分层"", ""完整性"": ""要素非常完整；包含7/7项要素"", ""专业性"": ""使用了基本专业术语""}"
SAMPLE_0043,高风险,RAG,auto,3,5,5,5,3,4.2,"{""逻辑清晰度"": ""逻辑结构基本合理"", ""证据充分性"": ""证据引用较为充分；包含引用标注"", ""可理解性"": ""句子长度适中，易于阅读；使用强调标记，重点突出；结构清晰，有标题分层"", ""完整性"": ""要素非常完整；包含7/7项要素"", ""专业性"": ""使用了基本专业术语""}"
SAMPLE_0002,低风险,RAG,auto,3,5,5,5,3,4.2,"{""逻辑清晰度"": ""逻辑结构基本合理"", ""证据充分性"": ""证据引用较为充分；包含引用标注"", ""可理解性"": ""句子长度适中，易于阅读；使用强调标记，重点突出；结构清晰，有标题分层"", ""完整性"": ""要素非常完整；包含7/7项要素"", ""专业性"": ""使用了基本专业术语""}"
SAMPLE_0028,中风险,RAG,auto,3,5,5,5,3,4.2,"{""逻辑清晰度"": ""逻辑结构基本合理"", ""证据充分性"": ""证据引用较为充分；包含引用标注"", ""可理解性"": ""句子长度适中，易于阅读；使用强调标记，重点突出；结构清晰，有标题分层"", ""完整性"": ""要素非常完整；包含7/7项要素"", ""专业性"": ""使用了基本专业术语""}"
SAMPLE_0049,高风险,RAG,auto,3,5,5,5,3,4.2,"{""逻辑清晰度"": ""逻辑结构基本合理"", ""证据充分性"": ""证据引用较为充分；包含引用标注"", ""可理解性"": ""句子长度适中，易于阅读；使用强调标记，重点突出；结构清晰，有标题分层"", ""完整性"": ""要素非常完整；包含7/7项要素"", ""专业性"": ""使用了基本专业术语""}"
SAMPLE_0033,高风险,RAG,auto,3,5,5,5,3,4.2,"{""逻辑清晰度"": ""逻辑结构基本合理"", ""证据充分性"": ""证据引用较为充分；包含引用标注"", ""可理解性"": ""句子长度适中，易于阅读；使用强调标记，重点突出；结构清晰，有标题分层"", ""完整性"": ""要素非常完整；包含7/7项要素"", ""专业性"": ""使用了基本专业术语""}"
SAMPLE_0031,高风险,RAG,auto,3,5,5,5,3,4.2,"{""逻辑清晰度"": ""逻辑结构基本合理"", ""证据充分性"": ""证据引用较为充分；包含引用标注"", ""可理解性"": ""句子长度适中，易于阅读；使用强调标记，重点突出；结构清晰，有标题分层"", ""完整性"": ""要素非常完整；包含7/7项要素"", ""专业性"": ""使用了基本专业术语""}"
SAMPLE_0045,高风险,RAG,auto,3,5,5,5,3,4.2,"{""逻辑清晰度"": ""逻辑结构基本合理"", ""证据充分性"": ""证据引用较为充分；包含引用标注"", ""可理解性"": ""句子长度适中，易于阅读；使用强调标记，重点突出；结构清晰，有标题分层"", ""完整性"": ""要素非常完整；包含7/7项要素"", ""专业性"": ""使用了基本专业术语""}"
SAMPLE_0008,低风险,RAG,auto,3,5,5,5,3,4.2,"{""逻辑清晰度"": ""逻辑结构基本合理"", ""证据充分性"": ""证据引用较为充分；包含引用标注"", ""可理解性"": ""句子长度适中，易于阅读；使用强调标记，重点突出；结构清晰，有标题分层"", ""完整性"": ""要素非常完整；包含7/7项要素"", ""专业性"": ""使用了基本专业术语""}"
SAMPLE_0014,中风险,RAG,auto,3,5,5,5,3,4.2,"{""逻辑清晰度"": ""逻辑结构基本合理"", ""证据充分性"": ""证据引用较为充分；包含引用标注"", ""可理解性"": ""句子长度适中，易于阅读；使用强调标记，重点突出；结构清晰，有标题分层"", ""完整性"": ""要素非常完整；包含7/7项要素"", ""专业性"": ""使用了基本专业术语""}"
SAMPLE_0010,低风险,RAG,auto,3,5,5,5,3,4.2,"{""逻辑清晰度"": ""逻辑结构基本合理"", ""证据充分性"": ""证据引用较为充分；包含引用标注"", ""可理解性"": ""句子长度适中，易于阅读；使用强调标记，重点突出；结构清晰，有标题分层"", ""完整性"": ""要素非常完整；包含7/7项要素"", ""专业性"": ""使用了基本专业术语""}"
SAMPLE_0030,中风险,RAG,auto,3,5,5,5,3,4.2,"{""逻辑清晰度"": ""逻辑结构基本合理"", ""证据充分性"": ""证据引用较为充分；包含引用标注"", ""可理解性"": ""句子长度适中，易于阅读；使用强调标记，重点突出；结构清晰，有标题分层"", ""完整性"": ""要素非常完整；包含7/7项要素"", ""专业性"": ""使用了基本专业术语""}"
SAMPLE_0020,中风险,RAG,auto,3,5,5,5,3,4.2,"{""逻辑清晰度"": ""逻辑结构基本合理"", ""证据充分性"": ""证据引用较为充分；包含引用标注"", ""可理解性"": ""句子长度适中，易于阅读；使用强调标记，重点突出；结构清晰，有标题分层"", ""完整性"": ""要素非常完整；包含7/7项要素"", ""专业性"": ""使用了基本专业术语""}"
SAMPLE_0040,高风险,RAG,auto,3,5,5,5,3,4.2,"{""逻辑清晰度"": ""逻辑结构基本合理"", ""证据充分性"": ""证据引用较为充分；包含引用标注"", ""可理解性"": ""句子长度适中，易于阅读；使用强调标记，重点突出；结构清晰，有标题分层"", ""完整性"": ""要素非常完整；包含7/7项要素"", ""专业性"": ""使用了基本专业术语""}"
SAMPLE_0027,中风险,RAG,auto,3,5,5,5,3,4.2,"{""逻辑清晰度"": ""逻辑结构基本合理"", ""证据充分性"": ""证据引用较为充分；包含引用标注"", ""可理解性"": ""句子长度适中，易于阅读；使用强调标记，重点突出；结构清晰，有标题分层"", ""完整性"": ""要素非常完整；包含7/7项要素"", ""专业性"": ""使用了基本专业术语""}"
SAMPLE_0024,中风险,RAG,auto,3,5,5,5,3,4.2,"{""逻辑清晰度"": ""逻辑结构基本合理"", ""证据充分性"": ""证据引用较为充分；包含引用标注"", ""可理解性"": ""句子长度适中，易于阅读；使用强调标记，重点突出；结构清晰，有标题分层"", ""完整性"": ""要素非常完整；包含7/7项要素"", ""专业性"": ""使用了基本专业术语""}"
SAMPLE_0039,高风险,RAG,auto,3,5,5,5,3,4.2,"{""逻辑清晰度"": ""逻辑结构基本合理"", ""证据充分性"": ""证据引用较为充分；包含引用标注"", ""可理解性"": ""句子长度适中，易于阅读；使用强调标记，重点突出；结构清晰，有标题分层"", ""完整性"": ""要素非常完整；包含7/7项要素"", ""专业性"": ""使用了基本专业术语""}"
SAMPLE_0034,高风险,RAG,auto,3,5,5,5,3,4.2,"{""逻辑清晰度"": ""逻辑结构基本合理"", ""证据充分性"": ""证据引用较为充分；包含引用标注"", ""可理解性"": ""句子长度适中，易于阅读；使用强调标记，重点突出；结构清晰，有标题分层"", ""完整性"": ""要素非常完整；包含7/7项要素"", ""专业性"": ""使用了基本专业术语""}"
SAMPLE_0007,低风险,RAG,auto,3,5,5,5,3,4.2,"{""逻辑清晰度"": ""逻辑结构基本合理"", ""证据充分性"": ""证据引用较为充分；包含引用标注"", ""可理解性"": ""句子长度适中，易于阅读；使用强调标记，重点突出；结构清晰，有标题分层"", ""完整性"": ""要素非常完整；包含7/7项要素"", ""专业性"": ""使用了基本专业术语""}"
SAMPLE_0032,高风险,RAG,auto,3,5,5,5,3,4.2,"{""逻辑清晰度"": ""逻辑结构基本合理"", ""证据充分性"": ""证据引用较为充分；包含引用标注"", ""可理解性"": ""句子长度适中，易于阅读；使用强调标记，重点突出；结构清晰，有标题分层"", ""完整性"": ""要素非常完整；包含7/7项要素"", ""专业性"": ""使用了基本专业术语""}"
SAMPLE_0006,低风险,RAG,auto,3,5,5,5,3,4.2,"{""逻辑清晰度"": ""逻辑结构基本合理"", ""证据充分性"": ""证据引用较为充分；包含引用标注"", ""可理解性"": ""句子长度适中，易于阅读；使用强调标记，重点突出；结构清晰，有标题分层"", ""完整性"": ""要素非常完整；包含7/7项要素"", ""专业性"": ""使用了基本专业术语""}"
SAMPLE_0046,高风险,RAG,auto,3,5,5,5,3,4.2,"{""逻辑清晰度"": ""逻辑结构基本合理"", ""证据充分性"": ""证据引用较为充分；包含引用标注"", ""可理解性"": ""句子长度适中，易于阅读；使用强调标记，重点突出；结构清晰，有标题分层"", ""完整性"": ""要素非常完整；包含7/7项要素"", ""专业性"": ""使用了基本专业术语""}"
SAMPLE_0041,高风险,RAG,auto,3,5,5,5,3,4.2,"{""逻辑清晰度"": ""逻辑结构基本合理"", ""证据充分性"": ""证据引用较为充分；包含引用标注"", ""可理解性"": ""句子长度适中，易于阅读；使用强调标记，重点突出；结构清晰，有标题分层"", ""完整性"": ""要素非常完整；包含7/7项要素"", ""专业性"": ""使用了基本专业术语""}"
SAMPLE_0021,中风险,RAG,auto,3,5,5,5,3,4.2,"{""逻辑清晰度"": ""逻辑结构基本合理"", ""证据充分性"": ""证据引用较为充分；包含引用标注"", ""可理解性"": ""句子长度适中，易于阅读；使用强调标记，重点突出；结构清晰，有标题分层"", ""完整性"": ""要素非常完整；包含7/7项要素"", ""专业性"": ""使用了基本专业术语""}"
SAMPLE_0001,低风险,RAG,auto,3,5,5,5,3,4.2,"{""逻辑清晰度"": ""逻辑结构基本合理"", ""证据充分性"": ""证据引用较为充分；包含引用标注"", ""可理解性"": ""句子长度适中，易于阅读；使用强调标记，重点突出；结构清晰，有标题分层"", ""完整性"": ""要素非常完整；包含7/7项要素"", ""专业性"": ""使用了基本专业术语""}"
SAMPLE_0026,中风险,RAG,auto,3,5,5,5,3,4.2,"{""逻辑清晰度"": ""逻辑结构基本合理"", ""证据充分性"": ""证据引用较为充分；包含引用标注"", ""可理解性"": ""句子长度适中，易于阅读；使用强调标记，重点突出；结构清晰，有标题分层"", ""完整性"": ""要素非常完整；包含7/7项要素"", ""专业性"": ""使用了基本专业术语""}"
SAMPLE_0004,低风险,RAG,auto,3,5,5,5,3,4.2,"{""逻辑清晰度"": ""逻辑结构基本合理"", ""证据充分性"": ""证据引用较为充分；包含引用标注"", ""可理解性"": ""句子长度适中，易于阅读；使用强调标记，重点突出；结构清晰，有标题分层"", ""完整性"": ""要素非常完整；包含7/7项要素"", ""专业性"": ""使用了基本专业术语""}"
SAMPLE_0029,中风险,RAG,auto,3,5,5,5,3,4.2,"{""逻辑清晰度"": ""逻辑结构基本合理"", ""证据充分性"": ""证据引用较为充分；包含引用标注"", ""可理解性"": ""句子长度适中，易于阅读；使用强调标记，重点突出；结构清晰，有标题分层"", ""完整性"": ""要素非常完整；包含7/7项要素"", ""专业性"": ""使用了基本专业术语""}"
SAMPLE_0016,中风险,RAG,auto,3,5,5,5,3,4.2,"{""逻辑清晰度"": ""逻辑结构基本合理"", ""证据充分性"": ""证据引用较为充分；包含引用标注"", ""可理解性"": ""句子长度适中，易于阅读；使用强调标记，重点突出；结构清晰，有标题分层"", ""完整性"": ""要素非常完整；包含7/7项要素"", ""专业性"": ""使用了基本专业术语""}"
SAMPLE_0044,高风险,RAG,auto,3,5,5,5,3,4.2,"{""逻辑清晰度"": ""逻辑结构基本合理"", ""证据充分性"": ""证据引用较为充分；包含引用标注"", ""可理解性"": ""句子长度适中，易于阅读；使用强调标记，重点突出；结构清晰，有标题分层"", ""完整性"": ""要素非常完整；包含7/7项要素"", ""专业性"": ""使用了基本专业术语""}"
SAMPLE_0011,中风险,RAG,auto,3,5,5,5,3,4.2,"{""逻辑清晰度"": ""逻辑结构基本合理"", ""证据充分性"": ""证据引用较为充分；包含引用标注"", ""可理解性"": ""句子长度适中，易于阅读；使用强调标记，重点突出；结构清晰，有标题分层"", ""完整性"": ""要素非常完整；包含7/7项要素"", ""专业性"": ""使用了基本专业术语""}"
SAMPLE_0003,低风险,RAG,auto,3,5,5,5,3,4.2,"{""逻辑清晰度"": ""逻辑结构基本合理"", ""证据充分性"": ""证据引用较为充分；包含引用标注"", ""可理解性"": ""句子长度适中，易于阅读；使用强调标记，重点突出；结构清晰，有标题分层"", ""完整性"": ""要素非常完整；包含7/7项要素"", ""专业性"": ""使用了基本专业术语""}"
SAMPLE_0018,中风险,RAG,auto,3,5,5,5,3,4.2,"{""逻辑清晰度"": ""逻辑结构基本合理"", ""证据充分性"": ""证据引用较为充分；包含引用标注"", ""可理解性"": ""句子长度适中，易于阅读；使用强调标记，重点突出；结构清晰，有标题分层"", ""完整性"": ""要素非常完整；包含7/7项要素"", ""专业性"": ""使用了基本专业术语""}"
